Description,Discount_Price,Price,Metal,Metal Color,Stones,Jewelry_Type,Product_Carat,Stone1_Desc,Stone1_Carat,Stone1_Stone,Stone1_Color,Stone1_Cut,Stone2_Desc,Stone2_Carat,Stone2_Stone,Stone2_Color,Stone2_Cut,Stone3_Desc,Stone3_Carat,Stone3_Stone,Stone3_Color,Stone3_Cut,Stone4_Desc,Stone4_Carat,Stone4_Stone,Stone4_Color,Stone4_Cut,Stone5_Desc,Stone5_Carat,Stone5_Stone,Stone5_Color,Stone5_Cut,Stone6_Desc,Stone6_Carat,Stone6_Stone,Stone6_Color,Stone6_Cut
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 4.62 TCW",5596.5,7995.0,14K Gold,Yellow,"Multi-Shape Emerald 4.01, Round Diamond 0.61",Earrings,4.62,Multi-Shape Emerald,4.01,Emerald, ,Multi-Shape, Round Diamond,0.61,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Hoop Earrings, 0.98 TCW",2796.5,3995.0,14K Gold,White,"Round Diamond 0.98,",Earrings,0.98,Round Diamond,0.98,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K White Gold Emerald and Diamond Drop Earrings, 4.04 TCW",6996.5,9995.0,14K Gold,Yellow,"Round Diamond 1.38, Pear Emerald 2.66,",Earrings,4.04,Round Diamond,1.38,Diamond, ,Round, Pear Emerald,2.66,Emerald, ,Pear,,,,,,,,,,,,,,,,,,,,
"Effy Canare 14K Yellow Gold Yellow Diamond Hoop Earrings, 1.15 TCW",3955.0,5650.0,14K Gold,Yellow,Round Diamond 1.15,Earrings,1.15,Round Diamond,1.15,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Gold Tanzanite and Diamond Earrings, 2.90 TCW",2905.0,4150.0,14K Gold,White,"Multi-Shape Tanzanite 2.6, Round Diamond 0.3",Earrings,2.9,Multi-Shape Tanzanite,2.6,Tanzanite, ,Multi-Shape, Round Diamond,0.3,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Yellow Gold Diamond Emerald Panther Earrings, 0.93 TCW",3356.5,4795.0,14K Gold,Yellow,"Round Diamond 0.91, Round Emerald 0.02,",Earrings,0.93,Round Diamond,0.91,Diamond, ,Round, Round Emerald,0.02,Emerald, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K White Gold Emerald and Diamond Earrings, 2.30 TCW",2936.5,4195.0,14K Gold,White,"Emerald Emerald 1.9, Round Diamond 0.4",Earrings,2.3,Emerald Emerald,1.9,Emerald, ,Emerald, Round Diamond,0.4,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K Yellow Gold Emerald Stud Earrings, 1.62 TCW",906.5,1295.0,14K Gold,Yellow,"Round Emerald 1.62,",Earrings,1.62,Round Emerald,1.62,Emerald, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Canare 18K Two Tone Gold Yellow and White Diamond Earrings, 0.36 TCW",1956.5,2795.0,18K Gold,Yellow and White,"Pear Yellow Diamond 0.26, Round Diamond 0.1",Earrings,0.36,Pear Yellow Diamond,0.26,Diamond,Yellow,Pear, Round Diamond,0.1,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Earrings, 0.51 TCW",2555.0,3650.0,18K Gold,Yellow and White,"Multi-Shape Yellow Diamond 0.51,",Earrings,0.51,Multi-Shape Yellow Diamond,0.51,Diamond,Yellow,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Novelty 14K White Gold Sapphire & Diamond Evil Eye Earrings, 0.57 TCW",1645.0,2350.0,14K Gold,White,"Round Blue Sapphire 0.25, Round Diamond 0.32",Earrings,0.57,Round Blue Sapphire,0.25,Sapphire,Blue,Round, Round Diamond,0.32,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Rose Gold Diamond and Emerald Earrings, 1.57 TCW",4445.0,6350.0,14K Gold,Rose,"Round Diamond, Round Black Diamond , Round Emerald 0.1",Earrings,1.57,Round Diamond,0.0,Diamond, ,Round, Round Black Diamond ,0.0,Diamond,Black,Round, Round Emerald,0.1,Emerald, ,Round,,,,,,,,,,,,,,,
"Effy Bella Bleu 14K Gold Blue and White  Diamond Stud Earrings, 0.71 TCW",2096.5,2995.0,14K Gold,White,"Round Blue Diamond 0.6, Round Diamond 0.11",Earrings,0.71,Round Blue Diamond,0.6,Diamond,Blue,Round, Round Diamond,0.11,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K White Gold Blue Diamond Mini Panther Earrings, 0.55 TCW",2096.5,2995.0,14K Gold,White,Round Blue Diamond 0.55,Earrings,0.55,Round Blue Diamond,0.55,Diamond,Blue,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Splash Sterling Silver Pink Sapphire Circle Earrings, 3.60 TCW",665.0,950.0,Sterling Silver,Sterling Silver,Round Pink Sapphire 3.6,Earrings,3.6,Round Pink Sapphire,3.6,Sapphire,Pink,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Splash Sterling Silver Multi Color Sapphire Square Earrings, 3.75 TCW",836.5,1195.0,Sterling Silver,Sterling Silver,Round Multi-Color 3.75,Earrings,3.75,Round Multi-Color,3.75,Multi-Color, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Stud Earrings, 0.49 TCW",1956.5,2795.0,14K Gold,White,Round Diamond 0.49,Earrings,0.49,Round Diamond,0.49,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bordeaux 14K Yellow Gold Garnet and Diamond Earrings, 6.04 TCW",1606.5,2295.0,14K Gold,Yellow,"Emerald Garnet 5.85, Round Diamond 0.19",Earrings,6.04,Emerald Garnet,5.85,Garnet, ,Emerald, Round Diamond,0.19,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Yellow Gold Multi Sapphire 1"" Hoop Earrings, 6.18 TCW",3006.5,4295.0,14K Gold,Yellow,Oval Multi-Sapphire 6.18,Earrings,6.18,Oval Multi-Sapphire,6.18,Multi-Sapphire, ,Oval,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Drop Earrings, 2.74 TCW",7696.5,10995.0,14K Gold,White,"Round Diamond 2.74,",Earrings,2.74,Round Diamond,2.74,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Earrings, 2.23 TCW",2647.5,5295.0,14K Gold,White,"Pear Blue Sapphire 1.42, Round Diamond 0.81",Earrings,2.23,Pear Blue Sapphire,1.42,Sapphire,Blue,Pear, Round Diamond,0.81,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Nature 14K Rose Gold Ruby and Diamond Butterfly Earrings, 2.44 TCW",2306.5,3295.0,14K Gold,Rose,"Pear Ruby 2.2, Round Diamond 0.24",Earrings,2.44,Pear Ruby,2.2,Ruby, ,Pear, Round Diamond,0.24,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Gold Tanzanite and Diamond Earrings, 1.54 TCW",1676.5,2395.0,14K Gold,White,"Pear Tanzanite 1.14, Round Diamond 0.4",Earrings,1.54,Pear Tanzanite,1.14,Tanzanite, ,Pear, Round Diamond,0.4,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K Two Tone Gold Tanzanite and Diamond Earrings, 2.19 TCW",1950.0,3900.0,14K Gold,Rose and White,"Emerald Tanzanite 1.71, Round Diamond 0.48",Earrings,2.19,Emerald Tanzanite,1.71,Tanzanite, ,Emerald, Round Diamond,0.48,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale Sterling Silver Tanzanite Stud Earrings, 1.52 TCW",367.5,525.0,Sterling Silver,Sterling Silver,Trillion Tanzanite 1.52,Earrings,1.52,Trillion Tanzanite,1.52,Tanzanite, ,Trillion,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K Two Tone Gold Sapphire and Diamond Earrings, 0.93 TCW",1746.5,2495.0,14K Gold,Yellow and White,"Pear Blue Sapphire 0.57, Round Diamond 0.36",Earrings,0.93,Pear Blue Sapphire,0.57,Sapphire,Blue,Pear, Round Diamond,0.36,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Black and White Diamond Hoop Earrings, 0.45 TCW",1396.5,1995.0,14K Gold,White,"Baguette Black Diamond 0.28, Round Diamond 0.17",Earrings,0.45,Baguette Black Diamond,0.28,Diamond,Black,Baguette, Round Diamond,0.17,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Classique 14K White Gold Diamond Drop Earrings, 0.72 TCW",3045.0,4350.0,14K Gold,White,Multi-Shape Diamond 0.72,Earrings,0.72,Multi-Shape Diamond,0.72,Diamond, ,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Earrings, 0.61 TCW",2656.5,3795.0,14K Gold,Rose,"Round Ruby 0.48, Round Diamond 0.13",Earrings,0.61,Round Ruby,0.48,Ruby, ,Round, Round Diamond,0.13,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Splash Silver Blue Sapphire 1"" Hoop Earrings, 3.97 TCW",696.5,995.0,Sterling Silver,Sterling Silver,"Round Blue Sapphire 3.97,",Earrings,3.97,Round Blue Sapphire,3.97,Sapphire,Blue,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Two Tone Gold Diamond Earrings, 0.41 TCW",1647.5,3295.0,14K Gold,Rose and White,Round Diamond 0.41,Earrings,0.41,Round Diamond,0.41,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Canare 14K Gold Yellow & White Diamond Huggie Hoop Earrings, 1.26 TCW",4616.5,6595.0,14K Gold,Yellow and White,"Round Yellow Diamond 1.01, Round Diamond 0.25",Earrings,1.26,Round Yellow Diamond,1.01,Diamond,Yellow,Round, Round Diamond,0.25,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K Rose Gold Espresso and White Diamond Stud Earrings, 0.71 TCW",2236.5,3195.0,14K Gold,Rose,Round Diamond 0.92,Earrings,0.71,Round Diamond,0.92,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Yellow Gold Diamond Panther Stud Earrings, 0.37 TCW",1396.5,1995.0,14K Gold,Yellow,"Round Diamond 0.33, Round Tsavorite 0.04",Earrings,0.37,Round Diamond,0.33,Diamond, ,Round, Round Tsavorite,0.04,Tsavorite, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Stud Earrings, 1.27 TCW",1155.0,1650.0,14K Gold,Yellow,"Round Ruby 1.14, Round Diamond 0.13",Earrings,1.27,Round Ruby,1.14,Ruby, ,Round, Round Diamond,0.13,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
Effy 925 Sterling Silver & 18K Yellow Gold Cultured Fresh Water Pearl Stud Earrings,332.5,475.0,Sterling Silver & 18K Gold,Sterling Silver & 18K Gold,Round Pearl,Earrings,0.0,Round Pearl,0.0,Pearl, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Rose Gold Tanzanite and Diamond Earrings, 2.22 TCW",2796.5,3995.0,14K Gold,Rose,"Emerald Tanzanite 1.71, Round Diamond 0.51",Earrings,2.22,Emerald Tanzanite,1.71,Tanzanite, ,Emerald, Round Diamond,0.51,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K White Gold Sapphire & Diamond Stud Earrings, 1.27 TCW",1155.0,1650.0,14K Gold,White,"Round Blue Sapphire 1.14, Round Diamond 0.13",Earrings,1.27,Round Blue Sapphire,1.14,Sapphire,Blue,Round, Round Diamond,0.13,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Two Tone Gold Ruby and Diamond Pear Shaped Drop Earrings, 0.87 TCW",1746.5,2495.0,14K Gold,Rose and White,"Pear Ruby 0.51, Round Diamond 0.36",Earrings,0.87,Pear Ruby,0.51,Ruby, ,Pear, Round Diamond,0.36,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Flower Earrings, 3.18 TCW",2345.0,3350.0,14K Gold,Yellow,"Pear Ruby 2.85, Round Diamond 0.33,",Earrings,3.18,Pear Ruby,2.85,Ruby, ,Pear, Round Diamond,0.33,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Bouquet 14K Yellow Gold Diamond Cluster Earrings, 0.93 TCW",2306.5,3295.0,14K Gold,Yellow,Round Diamond 0.93,Earrings,0.93,Round Diamond,0.93,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bouquet 14K Rose Gold Diamond Cluster Earrings, 0.50 TCW",795.0,1600.0,14K Gold,Rose,Round Diamond 0.5,Earrings,0.5,Round Diamond,0.5,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bouquet 14K Yellow Gold Diamond Cluster Earrings, 0.50 TCW",2306.5,3295.0,14K Gold,Yellow,Round Diamond 0.5,Earrings,0.5,Round Diamond,0.5,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K White Gold Multi Gemstone & Diamond Earrings, 4.28 TCW",2870.0,4100.0,14K Gold,White,"Multi-Shape Multi-Sapphire 3.89, Round Diamond 0.39",Earrings,4.28,Multi-Shape Multi-Sapphire,3.89,Multi-Sapphire, ,Multi-Shape, Round Diamond,0.39,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K White Gold Ruby and Diamond Earrings, 3.26 TCW",2306.5,3295.0,14K Gold,White,"Oval Ruby 2.85, Round Diamond 0.41",Earrings,3.26,Oval Ruby,2.85,Ruby, ,Oval, Round Diamond,0.41,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Stud Earrings, 1.08 TCW",1155.0,1650.0,14K Gold,Yellow,"Round Emerald 0.95, Round Diamond 0.13,",Earrings,1.08,Round Emerald,0.95,Emerald, ,Round, Round Diamond,0.13,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K White Gold Emerald and Diamond Drop Earrings, 2.63 TCW",3916.5,5595.0,14K Gold,White,"Emerald Emerald 1.9, Round Diamond 0.73",Earrings,2.63,Emerald Emerald,1.9,Emerald, ,Emerald, Round Diamond,0.73,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K Yellow Gold Turquoise and Diamond Drop Earrings, 5.78 TCW",1676.5,2395.0,14K Gold,Yellow,"Pear Turquoise 5.65, Round Diamond 0.13,",Earrings,5.78,Pear Turquoise,5.65,Turquoise, ,Pear, Round Diamond,0.13,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K Yellow Gold Diamond and Fresh Water Pearl Drop Earrings, 0.05 TCW",665.0,950.0,14K Gold,Yellow,"Round Diamond 0.05,",Earrings,0.05,Round Diamond,0.05,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K White Gold Ruby and Diamond Hoop Earrings, 1.19 TCW",1295.0,1495.0,14K Gold,White,"Round Ruby 0.8, Round Diamond 0.39,",Earrings,1.19,Round Ruby,0.8,Ruby, ,Round, Round Diamond,0.39,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K Gold Sapphire and Diamond Hoop Earrings, 1.19 TCW",1295.0,2595.0,14K Gold,White,"Round Blue Sapphire 0.8, Round Diamond 0.39,",Earrings,1.19,Round Blue Sapphire,0.8,Sapphire,Blue,Round, Round Diamond,0.39,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Black and White Diamond Hoop Earrings, 1.57 TCW",3146.5,4495.0,14K Gold,White,"Multi-Shape Diamond 1.57,",Earrings,1.57,Multi-Shape Diamond,1.57,Diamond, ,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Hoop Earrings, 0.48 TCW",1155.0,1650.0,14K Gold,White,"Round Diamond 0.48,",Earrings,0.48,Round Diamond,0.48,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Diamond Hoop Earrings, 0.49 TCW",1396.5,1995.0,14K Gold,White,"Round Diamond 0.49,",Earrings,0.49,Round Diamond,0.49,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Canare 18K Two-Tone Yellow & White Diamond Drop Earrings, 1.06 TCW",4196.5,5995.0,18K Gold,Yellow and White,"Round Yellow Diamond 1.06,",Earrings,1.06,Round Yellow Diamond,1.06,Diamond,Yellow,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K White Gold Sapphire & Diamond Hoop Earrings, 2.13 TCW",2236.5,3195.0,14K Gold,White,"Square Multi-Sapphire 1.9, Round Diamond 0.23",Earrings,2.13,Square Multi-Sapphire,1.9,Multi-Sapphire, ,Square, Round Diamond,0.23,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Topaz and Diamond Earrings, 9.25 TCW",1365.0,1950.0,14K Gold,White,"Emerald Blue Topaz 9.2, Round Diamond 0.05",Earrings,9.25,Emerald Blue Topaz,9.2,Topaz,Blue,Emerald, Round Diamond,0.05,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Multi Gemstone Earrings, 8.64 TCW",1645.0,2350.0,14K Gold,White,"Multi-Shape Multi-Color 8.55, Round Diamond 0.09",Earrings,8.64,Multi-Shape Multi-Color,8.55,Multi-Color, ,Multi-Shape, Round Diamond,0.09,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Aurora 14K Two Tone Gold Opal and Diamond Stud Earrings, 2.06 TCW",1715.0,2450.0,14K Gold,Yellow and White,"Oval Opal 1.9, Round Diamond 0.16",Earrings,2.06,Oval Opal,1.9,Opal, ,Oval, Round Diamond,0.16,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K Rose Gold Diamond Hoop Earrings, 3.92 TCW",11896.5,16995.0,14K Gold,Rose,Round Diamond 3.92,Earrings,3.92,Round Diamond,3.92,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Black and White Diamond Earrings, 1.38 TCW",3247.5,6495.0,14K Gold,White,Round Diamond 1.38,Earrings,1.38,Round Diamond,1.38,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K White Gold Sapphire & Diamond Stud Earrings, 2.28 TCW",3006.5,4295.0,14K Gold,White,"Round Blue Sapphire 2, Round Diamond 0.28,",Earrings,2.28,Round Blue Sapphire,2.0,Sapphire,Blue,Round, Round Diamond,0.28,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K White Gold Sapphire & Diamond Stud Earrings, 0.47 TCW",766.5,1095.0,14K Gold,White,"Round Blue Sapphire 0.38, Round Diamond 0.09,",Earrings,0.47,Round Blue Sapphire,0.38,Sapphire,Blue,Round, Round Diamond,0.09,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K White Gold Emerald and Diamond Stud Earrings, 0.39 TCW",766.5,1095.0,14K Gold,Yellow,"Round Emerald 0.3, Round Diamond 0.09,",Earrings,0.39,Round Emerald,0.3,Emerald, ,Round, Round Diamond,0.09,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Earrings, 2.58 TCW",1676.5,2395.0,14K Gold,Yellow,"Oval Multi-Sapphire 2.51, Round Diamond 0.07",Earrings,2.58,Oval Multi-Sapphire,2.51,Multi-Sapphire, ,Oval, Round Diamond,0.07,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Canare 14K 2-Tone Gold Yellow and White Diamond Earrings, 0.61 TCW",2726.5,3895.0,14K Gold,Yellow and White,Round Diamond 0.61,Earrings,0.61,Round Diamond,0.61,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 14K Rose Gold Espresso and White Diamond Earrings, 0.73 TCW",2796.5,3995.0,14K Gold,Rose,Round Diamond 0.73,Earrings,0.73,Round Diamond,0.73,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Gold Tanzanite & Diamond Stud Earrings, 2.34 TCW",1536.5,2195.0,14K Gold,White,"Trillion Tanzanite 2.18, Round Diamond 0.16,",Earrings,2.34,Trillion Tanzanite,2.18,Tanzanite, ,Trillion, Round Diamond,0.16,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy D'Oro 14K Yellow Gold Diamond Hoop Earrings, 0.94 TCW",3146.5,4495.0,14K Gold,Yellow,Multi-Shape Diamond 0.94,Earrings,0.94,Multi-Shape Diamond,0.94,Diamond, ,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Duo 14K Two Tone Gold Diamond Earrings, 0.49 TCW",2306.5,3295.0,14K Gold,Yellow and White,"Round Diamond 0.49,",Earrings,0.49,Round Diamond,0.49,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K White Gold Ear Jackets, 2.72 TCW",8352.5,16705.0,14K Gold,White,"Round Diamond 2.72,",Earrings,2.72,Round Diamond,2.72,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silver Blue Topaz Earrings, 4.80 TCW",385.0,550.0,Sterling Silver,Sterling Silver,"Cushion Blue Topaz 4.8,",Earrings,4.8,Cushion Blue Topaz,4.8,Topaz,Blue,Cushion,,,,,,,,,,,,,,,,,,,,,,,,,
Effy 14K Yellow Gold Pearl Dangle Earrings,315.0,450.0,14K Gold,Yellow,Pearl,Earrings,0.0,Pearl,0.0,Pearl, , ,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Bouquet 14K Yellow Gold Diamond Cluster Stud Earrings, 0.50 TCW",795.0,1600.0,14K Gold,Yellow,"Round Diamond 0.5,",Earrings,0.5,Round Diamond,0.5,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Seaside 14K White Gold Sapphire & Diamond Starfish Studs, 0.82 TCW",1295.0,1850.0,14K Gold,White,"Round Blue Sapphire 0.7, Round Diamond 0.12,",Earrings,0.82,Round Blue Sapphire,0.7,Sapphire,Blue,Round, Round Diamond,0.12,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Aurora 14K Yellow Gold Opal Stud Earrings, 0.75 TCW",626.5,895.0,14K Gold,Yellow,"Round Opal 0.75,",Earrings,0.75,Round Opal,0.75,Opal, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Earrings, 22.46 TCW",2625.0,3750.0,14K Gold,Yellow,"Fantasy Onyx 21.9, Round Diamond 0.56",Earrings,22.46,Fantasy Onyx,21.9,Onyx, ,Fantasy, Round Diamond,0.56,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 2.95 TCW",3745.0,5350.0,14K Gold,Yellow,"Multi-Shape Emerald 1.95, Round Diamond 1",Earrings,2.95,Multi-Shape Emerald,1.95,Emerald, ,Multi-Shape, Round Diamond,1.0,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Stud Earrings, 0.47 TCW",766.5,1095.0,14K Gold,Yellow,"Round Ruby 0.38, Round Diamond 0.09",Earrings,0.47,Round Ruby,0.38,Ruby, ,Round, Round Diamond,0.09,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Ocean Bleu 14K White Gold Blue Topaz Stud Earrings, 1.10 TCW",486.5,695.0,14K Gold,White,Round Blue Topaz 1.1,Earrings,1.1,Round Blue Topaz,1.1,Topaz,Blue,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Yellow Gold Sapphire and Diamond Earrings, 7.56 CW",4196.5,5995.0,14K Gold,Yellow,"Multi-Shape Multi-Sapphire 7.12, Round Diamond 0.44",Earrings,7.56,Multi-Shape Multi-Sapphire,7.12,Multi-Sapphire, ,Multi-Shape, Round Diamond,0.44,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K White Gold Black and White Diamond Earrings, 0.79 TCW",2096.5,2995.0,14K Gold,White,Round Diamond 0.79,Earrings,0.79,Round Diamond,0.79,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Earrings, 6.95 TCW",4196.5,5995.0,14K Gold,Yellow,"Marquise Ruby 6.44, Round Diamond 0.51",Earrings,6.95,Marquise Ruby,6.44,Ruby, ,Marquise, Round Diamond,0.51,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K White Gold Sapphire & Diamond Hoop Earrings, 1.03 TCW",1995.0,2850.0,14K Gold,White,"Round Blue Sapphire 0.76, Round Diamond 0.27",Earrings,1.03,Round Blue Sapphire,0.76,Sapphire,Blue,Round, Round Diamond,0.27,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Gold Sapphire & Diamond Starfish Earrings, 0.76 TCW",795.0,1350.0,14K Gold,Yellow,"Round Multi-Sapphire 0.66, Round Diamond 0.1,",Earrings,0.76,Round Multi-Sapphire,0.66,Multi-Sapphire, ,Round, Round Diamond,0.1,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K Rose Gold Tanzanite and Diamond Stud Earrings, 1.70 TCW",1746.5,2495.0,14K Gold,Rose,"Oval Tanzanite 1.33, Round Diamond 0.37",Earrings,1.7,Oval Tanzanite,1.33,Tanzanite, ,Oval, Round Diamond,0.37,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
Effy 14K Yellow Gold Cultured Fresh Water Pearl Earrings,315.0,450.0,14K Gold,Yellow,Round Pearl,Earrings,0.0,Round Pearl,0.0,Pearl, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Mosaic Sterling Silver & 18K Gold Multi Gemstone Earrings, 2.75 TCW",455.0,650.0,Sterling Silver & 18K Gold,Yellow,Multi-Shape Multi-Color 2.75,Earrings,2.75,Multi-Shape Multi-Color,2.75,Multi-Color, ,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Earrings, 5.22 TCW",3916.5,5595.0,14K Gold,White,"Multi-Shape Multi-Sapphire 4.62, Round Diamond 0.6",Earrings,5.22,Multi-Shape Multi-Sapphire,4.62,Multi-Sapphire, ,Multi-Shape, Round Diamond,0.6,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Rose Gold Diamond and Tsavorite Stud Earrings, 0.49 TCW",1606.5,2295.0,14K Gold,Rose,"Round Diamond 0.45, Round Tsavorite 0.04",Earrings,0.49,Round Diamond,0.45,Diamond, ,Round, Round Tsavorite,0.04,Tsavorite, ,Round,,,,,,,,,,,,,,,,,,,,
