Description,Discount_Price,Price,Metal,Metal Color,Stones,Jewelry_Type,Product_Carat,Stone1_Desc,Stone1_Carat,Stone1_Stone,Stone1_Color,Stone1_Cut,Stone2_Desc,Stone2_Carat,Stone2_Stone,Stone2_Color,Stone2_Cut,Stone3_Desc,Stone3_Carat,Stone3_Stone,Stone3_Color,Stone3_Cut,Stone4_Desc,Stone4_Carat,Stone4_Stone,Stone4_Color,Stone4_Cut,Stone5_Desc,Stone5_Carat,Stone5_Stone,Stone5_Color,Stone5_Cut,Stone6_Desc,Stone6_Carat,Stone6_Stone,Stone6_Color,Stone6_Cut
"Effy 925 Sterling Silver Multi Sapphire Butterfly Earrings, 1.62 TCW",402.5,575.0,Sterling Silver,Sterling Silver,Round Multi-Sapphire 1.62,Earrings,1.62,Round Multi-Sapphire,1.62,Multi-Sapphire, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"14K Rose Gold Rose Quartz and Diamond Earrings, 13.05 TCW",1956.5,2795.0,14K Gold,Rose,"Trillion Rose Quartz 12.7, Round Diamond 0.35",Earrings,13.05,Trillion Rose Quartz,12.7,Quartz,Rose,Trillion, Round Diamond,0.35,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Bordeaux 14K Yellow Gold Garnet and Diamond Earrings, 4.77 TCW",1015.0,1450.0,14K Gold,Yellow,"Oval Garnet 4.7, Round Diamond 0.07",Earrings,4.77,Oval Garnet,4.7,Garnet, ,Oval, Round Diamond,0.07,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 14K Yellow Gold Onyx and Cultured Fresh Water Pearl Drop Earrings, 14.50 TCW",276.5,395.0,14K Gold,Yellow,Round Pearl,Earrings,14.5,Round Pearl,0.0,Pearl, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Tanzanite Royale 14K Yellow Gold Tanzanite and Diamond Stud Earrings, 1.19 TCW",495.0,1195.0,14K Gold,Yellow,"Trillion Tanzanite 1.05, Round Diamond 0.14,",Earrings,1.19,Trillion Tanzanite,1.05,Tanzanite, ,Trillion, Round Diamond,0.14,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Signature 14K Rose Gold Black Diamond & Emerald Earrings, 0.93 TCW",1925.0,2750.0,14K Gold,Rose,"Round Black Diamond 0.88, Round Emerald 0.05",Earrings,0.93,Round Black Diamond,0.88,Diamond,Black,Round, Round Emerald,0.05,Emerald, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Canare 14K Two Tone Gold Yellow and White Diamond Earrings, 0.98 TCW",3846.5,5495.0,14K Gold,Yellow and White,Round Diamond 0.98,Earrings,0.98,Round Diamond,0.98,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Royale Bleu 14K 2-Tone Gold Sapphire & Diamond Earrings, 1.11 TCW",3006.5,4295.0,14K Gold,Yellow and White,"Round Blue Sapphire 0.62, Round Diamond 0.29,",Earrings,1.11,Round Blue Sapphire,0.62,Sapphire,Blue,Round, Round Diamond,0.29,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Canare 14K Two Tone Gold Yellow and White Diamond Heart Earrings, 0.96 TCW",3426.5,4895.0,14K Gold,Yellow and White,"Round Yellow Diamond 0.69, Round Diamond 0.27",Earrings,0.96,Round Yellow Diamond,0.69,Diamond,Yellow,Round, Round Diamond,0.27,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Earrings, 2.63 TCW",2726.5,3895.0,14K Gold,Yellow,"Square Multi-Sapphire 2.39, Round Diamond 0.24",Earrings,2.63,Square Multi-Sapphire,2.39,Multi-Sapphire, ,Square, Round Diamond,0.24,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy Nature 14K Yellow Gold Diamond Flower Earrings, 0.32 TCW",2096.5,2995.0,14K Gold,Yellow,Round Diamond 0.32,Earrings,0.32,Round Diamond,0.32,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Nature Sterling Silver & 18K Gold Diamond Flower Earrings, 0.04 TCW",647.5,925.0,Sterling Silver & 18K Gold,Sterling Silver & 18K Gold,Round Diamond 0.04,Earrings,0.04,Round Diamond,0.04,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Aquarius 14K White Gold Aquamarine Stud Earrings, 0.90 TCW",626.5,895.0,14K Gold,White,Round Aquamarine 0.9,Earrings,0.9,Round Aquamarine,0.9,Aquamarine, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 0.72 TCW",1046.5,1495.0,14K Gold,Yellow,"Round Diamond 0.24, Round Emerald 0.48,",Earrings,0.72,Round Diamond,0.24,Diamond, ,Round, Round Emerald,0.48,Emerald, ,Round,,,,,,,,,,,,,,,,,,,,
"Effy 925 Sterling Silver Pink Sapphire Splash Heart Earrings, 2.30 TCW",595.0,850.0,Sterling Silver,Sterling Silver,Round Pink Sapphire 2.30,Earrings,2.3,Round Pink Sapphire,2.3,Sapphire,Pink,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Seaside 14K Tri Color Gold Diamond Starfish Earrings, 0.33 TCW",1466.5,2095.0,14K Gold,Three Tone,Round Diamond 0.33,Earrings,0.33,Round Diamond,0.33,Diamond, ,Round,,,,,,,,,,,,,,,,,,,,,,,,,
"Effy Pave Classica 14K Gold Diamond Pear Shaped Drop Earrings, 0.77 TCW",3496.5,4995.0,14K Gold,White,"Multi-Shape Diamond 0.38,",Earrings,0.77,Multi-Shape Diamond,0.38,Diamond, ,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
