Description,Discount_Price,Price,Metal,Metal Color,Stones,Product_Weight
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 4.62 TCW",5596.5,7995.0,14K Gold,Yellow,"Multi Shape Emerald 4.01, Round Diamond 0.61",4.62
"Effy Pave Classica 14K White Gold Diamond Hoop Earrings, 0.98 TCW",2796.5,3995.0,14K Gold,White,"Round Diamond 0.98,",0.98
"Effy Brasilica 14K White Gold Emerald and Diamond Drop Earrings, 4.04 TCW",6996.5,9995.0,14K Gold,Yellow,"Round Diamond 1.38, Pear Emerald 2.66,",4.04
"Effy Canare 14K Yellow Gold Yellow Diamond Hoop Earrings, 1.15 TCW",3955.0,5650.0,14K Gold,Yellow,Round Diamond 1.15,1.15
"Effy Tanzanite Royale 14K Gold Tanzanite and Diamond Earrings, 2.90 TCW",2905.0,4150.0,14K Gold,White,"Multi Shape Tanzanite 2.6, Round Diamond 0.3",2.9
"Effy Signature 14K Yellow Gold Diamond Emerald Panther Earrings, 0.93 TCW",3356.5,4795.0,14K Gold,Yellow,"Round Diamond 0.91, Round Emerald 0.02,",0.93
"Effy Brasilica 14K White Gold Emerald and Diamond Earrings, 2.30 TCW",2936.5,4195.0,14K Gold,White,"Emerald Cut Emerald 1.9, Round Diamond 0.4",2.3
"Effy Brasilica 14K Yellow Gold Emerald Stud Earrings, 1.62 TCW",906.5,1295.0,14K Gold,Yellow,"Round Emerald 1.62,",1.62
"Effy Canare 18K Two Tone Gold Yellow and White Diamond Earrings, 0.36 TCW",1956.5,2795.0,18K Gold,Yellow and White,"Pear Yellow Diamond 0.26, Round Diamond 0.1",0.36
"Effy Canare 18K Two-Tone Gold Yellow and White Diamond Earrings, 0.51 TCW",2555.0,3650.0,18K Gold,Yellow and White,"Multi Shape Yellow Diamond 0.51,",0.51
"Effy Novelty 14K White Gold Sapphire & Diamond Evil Eye Earrings, 0.57 TCW",1645.0,2350.0,14K Gold,White,"Round Blue Sapphire 0.25, Round Diamond 0.32",0.57
"Effy Signature 14K Rose Gold Diamond and Emerald Earrings, 1.57 TCW",4445.0,6350.0,14K Gold,Rose,"Round Diamond, Round Black Diamond , Round Emerald 0.1",1.57
"Effy Bella Bleu 14K Gold Blue and White  Diamond Stud Earrings, 0.71 TCW",2096.5,2995.0,14K Gold,White,"Round Blue Diamond 0.6, Round Diamond 0.11",0.71
"Effy Signature 14K White Gold Blue Diamond Mini Panther Earrings, 0.55 TCW",2096.5,2995.0,14K Gold,White,Round Blue Diamond 0.55,0.55
"Effy Splash Sterling Silver Pink Sapphire Circle Earrings, 3.60 TCW",665.0,950.0,Sterling Silver,Sterling Silver,Round Pink Sapphire 3.6,3.6
"Effy Splash Sterling Silver Multi Color Sapphire Square Earrings, 3.75 TCW",836.5,1195.0,Sterling Silver,Sterling Silver,Round Multi Color 3.75,3.75
"Effy Pave Classica 14K White Gold Diamond Stud Earrings, 0.49 TCW",1956.5,2795.0,14K Gold,White,Round Diamond 0.49,0.49
"Effy Bordeaux 14K Yellow Gold Garnet and Diamond Earrings, 6.04 TCW",1606.5,2295.0,14K Gold,Yellow,"Emerald Cut Garnet 5.85, Round Diamond 0.19",6.04
"Effy Watercolors 14K Yellow Gold Multi Sapphire 1"" Hoop Earrings, 6.18 TCW",3006.5,4295.0,14K Gold,Yellow,Oval Multi Sapphire 6.18,6.18
"Effy Pave Classica 14K White Gold Diamond Drop Earrings, 2.74 TCW",7696.5,10995.0,14K Gold,White,"Round Diamond 2.74,",2.74
"Effy Royale Bleu 14K White Gold Sapphire and Diamond Earrings, 2.23 TCW",2647.5,5295.0,14K Gold,White,"Pear Blue Sapphire 1.42, Round Diamond 0.81",2.23
"Effy Nature 14K Rose Gold Ruby and Diamond Butterfly Earrings, 2.44 TCW",2306.5,3295.0,14K Gold,Rose,"Pear Ruby 2.2, Round Diamond 0.24",2.44
"Effy Tanzanite Royale 14K Gold Tanzanite and Diamond Earrings, 1.54 TCW",1676.5,2395.0,14K Gold,White,"Pear Tanzanite 1.14, Round Diamond 0.4",1.54
"Effy 14K Two Tone Gold Tanzanite and Diamond Earrings, 2.19 TCW",1950.0,3900.0,14K Gold,Rose and White,"Emerald Cut Tanzanite 1.71, Round Diamond 0.48",2.19
"Effy Tanzanite Royale Sterling Silver Tanzanite Stud Earrings, 1.52 TCW",367.5,525.0,Sterling Silver,Sterling Silver,Trillion Tanzanite 1.52,1.52
"Effy Royale Bleu 14K Two Tone Gold Sapphire and Diamond Earrings, 0.93 TCW",1746.5,2495.0,14K Gold,Yellow and White,"Pear Blue Sapphire 0.57, Round Diamond 0.36",0.93
"Effy 14K White Gold Black and White Diamond Hoop Earrings, 0.45 TCW",1396.5,1995.0,14K Gold,White,"Baguette Black Diamond 0.28, Round Diamond 0.17",0.45
"Effy Classique 14K White Gold Diamond Drop Earrings, 0.72 TCW",3045.0,4350.0,14K Gold,White,Multi Shape Diamond 0.72,0.72
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Earrings, 0.61 TCW",2656.5,3795.0,14K Gold,Rose,"Round Ruby 0.48, Round Diamond 0.13",0.61
"Effy Splash Silver Blue Sapphire 1"" Hoop Earrings, 3.97 TCW",696.5,995.0,Sterling Silver,Sterling Silver,"Round Blue Sapphire 3.97,",3.97
"Effy 14K Two Tone Gold Diamond Earrings, 0.41 TCW",1647.5,3295.0,14K Gold,Rose and White,Round Diamond 0.41,0.41
"Effy Canare 14K Gold Yellow & White Diamond Huggie Hoop Earrings, 1.26 TCW",4616.5,6595.0,14K Gold,Yellow and White,"Round Yellow Diamond 1.01, Round Diamond 0.25",1.26
"Effy 14K Rose Gold Espresso and White Diamond Stud Earrings, 0.71 TCW",2236.5,3195.0,14K Gold,Rose,Round Diamond 0.92,0.71
"Effy Signature 14K Yellow Gold Diamond Panther Stud Earrings, 0.37 TCW",1396.5,1995.0,14K Gold,Yellow,"Round Diamond 0.33, Round Tsavorite 0.04",0.37
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Stud Earrings, 1.27 TCW",1155.0,1650.0,14K Gold,Yellow,"Round Ruby 1.14, Round Diamond 0.13",1.27
Effy 925 Sterling Silver & 18K Yellow Gold Cultured Fresh Water Pearl Stud Earrings,332.5,475.0,Sterling Silver & 18K Gold,Sterling Silver & 18K Gold,Round Pearl,0.0
"Effy Tanzanite Royale 14K Rose Gold Tanzanite and Diamond Earrings, 2.22 TCW",2796.5,3995.0,14K Gold,Rose,"Emerald Cut Tanzanite 1.71, Round Diamond 0.51",2.22
"Effy Royale Bleu 14K White Gold Sapphire & Diamond Stud Earrings, 1.27 TCW",1155.0,1650.0,14K Gold,White,"Round Blue Sapphire 1.14, Round Diamond 0.13",1.27
"Effy Ruby Royale 14K Two Tone Gold Ruby and Diamond Pear Shaped Drop Earrings, 0.87 TCW",1746.5,2495.0,14K Gold,Rose and White,"Pear Ruby 0.51, Round Diamond 0.36",0.87
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Flower Earrings, 3.18 TCW",2345.0,3350.0,14K Gold,Yellow,"Pear Ruby 2.85, Round Diamond 0.33,",3.18
"Effy Bouquet 14K Yellow Gold Diamond Cluster Earrings, 0.93 TCW",2306.5,3295.0,14K Gold,Yellow,Round Diamond 0.93,0.93
"Effy Bouquet 14K Rose Gold Diamond Cluster Earrings, 0.50 TCW",795.0,1600.0,14K Gold,Rose,Round Diamond 0.5,0.5
"Effy Bouquet 14K Yellow Gold Diamond Cluster Earrings, 0.50 TCW",2306.5,3295.0,14K Gold,Yellow,Round Diamond 0.5,0.5
"Effy Watercolors 14K White Gold Multi Gemstone & Diamond Earrings, 4.28 TCW",2870.0,4100.0,14K Gold,White,"Multi Shape Multi Sapphire 3.89, Round Diamond 0.39",4.28
"Effy Ruby Royale 14K White Gold Ruby and Diamond Earrings, 3.26 TCW",2306.5,3295.0,14K Gold,White,"Oval Ruby 2.85, Round Diamond 0.41",3.26
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Stud Earrings, 1.08 TCW",1155.0,1650.0,14K Gold,Yellow,"Round Emerald 0.95, Round Diamond 0.13,",1.08
"Effy Brasilica 14K White Gold Emerald and Diamond Drop Earrings, 2.63 TCW",3916.5,5595.0,14K Gold,White,"Emerald Cut Emerald 1.9, Round Diamond 0.73",2.63
"Effy 14K Yellow Gold Turquoise and Diamond Drop Earrings, 5.78 TCW",1676.5,2395.0,14K Gold,Yellow,"Pear Turquoise 5.65, Round Diamond 0.13,",5.78
"Effy 14K Yellow Gold Diamond and Fresh Water Pearl Drop Earrings, 0.05 TCW",665.0,950.0,14K Gold,Yellow,"Round Diamond 0.05,",0.05
"Effy Ruby Royale 14K White Gold Ruby and Diamond Hoop Earrings, 1.19 TCW",1295.0,1495.0,14K Gold,White,"Round Ruby 0.8, Round Diamond 0.39,",1.19
"Effy Royale Bleu 14K Gold Sapphire and Diamond Hoop Earrings, 1.19 TCW",1295.0,2595.0,14K Gold,White,"Round Blue Sapphire 0.8, Round Diamond 0.39,",1.19
"Effy 14K White Gold Black and White Diamond Hoop Earrings, 1.57 TCW",3146.5,4495.0,14K Gold,White,"Multi Shape Diamond 1.57,",1.57
"Effy Pave Classica 14K White Gold Diamond Hoop Earrings, 0.48 TCW",1155.0,1650.0,14K Gold,White,"Round Diamond 0.48,",0.48
"Effy Pave Classica 14K White Gold Diamond Hoop Earrings, 0.49 TCW",1396.5,1995.0,14K Gold,White,"Round Diamond 0.49,",0.49
"Effy Canare 18K Two-Tone Yellow & White Diamond Drop Earrings, 1.06 TCW",4196.5,5995.0,18K Gold,Yellow and White,"Round Yellow Diamond 1.06,",1.06
"Effy Watercolors 14K White Gold Sapphire & Diamond Hoop Earrings, 2.13 TCW",2236.5,3195.0,14K Gold,White,"Square Multi Sapphire 1.9, Round Diamond 0.23",2.13
"Effy 14K White Gold Topaz and Diamond Earrings, 9.25 TCW",1365.0,1950.0,14K Gold,White,"Emerald Cut Blue Topaz 9.2, Round Diamond 0.05",9.25
"Effy 14K White Gold Multi Gemstone Earrings, 8.64 TCW",1645.0,2350.0,14K Gold,White,"Multi Shape Multi Color 8.55, Round Diamond 0.09",8.64
"Effy Aurora 14K Two Tone Gold Opal and Diamond Stud Earrings, 2.06 TCW",1715.0,2450.0,14K Gold,Yellow and White,"Oval Opal 1.9, Round Diamond 0.16",2.06
"Effy 14K Rose Gold Diamond Hoop Earrings, 3.92 TCW",11896.5,16995.0,14K Gold,Rose,Round Diamond 3.92,3.92
"Effy 14K White Gold Black and White Diamond Earrings, 1.38 TCW",3247.5,6495.0,14K Gold,White,Round Diamond 1.38,1.38
"Effy Royale Bleu 14K White Gold Sapphire & Diamond Stud Earrings, 2.28 TCW",3006.5,4295.0,14K Gold,White,"Round Blue Sapphire 2, Round Diamond 0.28,",2.28
"Effy Royale Bleu 14K White Gold Sapphire & Diamond Stud Earrings, 0.47 TCW",766.5,1095.0,14K Gold,White,"Round Blue Sapphire 0.38, Round Diamond 0.09,",0.47
"Effy Brasilica 14K White Gold Emerald and Diamond Stud Earrings, 0.39 TCW",766.5,1095.0,14K Gold,Yellow,"Round Emerald 0.3, Round Diamond 0.09,",0.39
"Effy Watercolors 14K Gold Multi Sapphire and Diamond Earrings, 2.58 TCW",1676.5,2395.0,14K Gold,Yellow,"Oval Multi Sapphire 2.51, Round Diamond 0.07",2.58
"Effy Canare 14K 2-Tone Gold Yellow and White Diamond Earrings, 0.61 TCW",2726.5,3895.0,14K Gold,Yellow and White,Round Diamond 0.61,0.61
"Effy 14K Rose Gold Espresso and White Diamond Earrings, 0.73 TCW",2796.5,3995.0,14K Gold,Rose,Round Diamond 0.73,0.73
"Effy Tanzanite Royale 14K Gold Tanzanite & Diamond Stud Earrings, 2.34 TCW",1536.5,2195.0,14K Gold,White,"Trillion Tanzanite 2.18, Round Diamond 0.16,",2.34
"Effy D'Oro 14K Yellow Gold Diamond Hoop Earrings, 0.94 TCW",3146.5,4495.0,14K Gold,Yellow,Multi Shape Diamond 0.94,0.94
"Effy Duo 14K Two Tone Gold Diamond Earrings, 0.49 TCW",2306.5,3295.0,14K Gold,Yellow and White,"Round Diamond 0.49,",0.49
"Effy Pave Classica 14K White Gold Ear Jackets, 2.72 TCW",8352.5,16705.0,14K Gold,White,"Round Diamond 2.72,",2.72
"Effy 925 Sterling Silver Blue Topaz Earrings, 4.80 TCW",385.0,550.0,Sterling Silver,Sterling Silver,"Cushion Blue Topaz 4.8,",4.8
Effy 14K Yellow Gold Pearl Dangle Earrings,315.0,450.0,14K Gold,Yellow,Pearl,0.0
"Effy Bouquet 14K Yellow Gold Diamond Cluster Stud Earrings, 0.50 TCW",795.0,1600.0,14K Gold,Yellow,"Round Diamond 0.5,",0.5
"Effy Seaside 14K White Gold Sapphire & Diamond Starfish Studs, 0.82 TCW",1295.0,1850.0,14K Gold,White,"Round Blue Sapphire 0.7, Round Diamond 0.12,",0.82
"Effy Aurora 14K Yellow Gold Opal Stud Earrings, 0.75 TCW",626.5,895.0,14K Gold,Yellow,"Round Opal 0.75,",0.75
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Earrings, 22.46 TCW",2625.0,3750.0,14K Gold,Yellow,"Fantasy Cut Onyx 21.9, Round Diamond 0.56",22.46
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 2.95 TCW",3745.0,5350.0,14K Gold,Yellow,"Multi Shape Emerald 1.95, Round Diamond 1",2.95
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Stud Earrings, 0.47 TCW",766.5,1095.0,14K Gold,Yellow,"Round Ruby 0.38, Round Diamond 0.09",0.47
"Effy Ocean Bleu 14K White Gold Blue Topaz Stud Earrings, 1.10 TCW",486.5,695.0,14K Gold,White,Round Blue Topaz 1.1,1.1
"Effy Watercolors 14K Yellow Gold Sapphire and Diamond Earrings, 7.56 CW",4196.5,5995.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 7.12, Round Diamond 0.44",7.56
"Effy 14K White Gold Black and White Diamond Earrings, 0.79 TCW",2096.5,2995.0,14K Gold,White,Round Diamond 0.79,0.79
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Earrings, 6.95 TCW",4196.5,5995.0,14K Gold,Yellow,"Marquise Ruby 6.44, Round Diamond 0.51",6.95
"Effy Royale Bleu 14K White Gold Sapphire & Diamond Hoop Earrings, 1.03 TCW",1995.0,2850.0,14K Gold,White,"Round Blue Sapphire 0.76, Round Diamond 0.27",1.03
"Effy Watercolors 14K Gold Sapphire & Diamond Starfish Earrings, 0.76 TCW",795.0,1350.0,14K Gold,Yellow,"Round Multi Sapphire 0.66, Round Diamond 0.1,",0.76
"Effy 14K Rose Gold Tanzanite and Diamond Stud Earrings, 1.70 TCW",1746.5,2495.0,14K Gold,Rose,"Oval Tanzanite 1.33, Round Diamond 0.37",1.7
Effy 14K Yellow Gold Cultured Fresh Water Pearl Earrings,315.0,450.0,14K Gold,Yellow,Round Pearl,0.0
"Effy Mosaic Sterling Silver & 18K Gold Multi Gemstone Earrings, 2.75 TCW",455.0,650.0,Sterling Silver & 18K Gold,Yellow,Multi Shape Multi Color 2.75,2.75
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Earrings, 5.22 TCW",3916.5,5595.0,14K Gold,White,"Multi Shape Multi Sapphire 4.62, Round Diamond 0.6",5.22
"Effy Signature 14K Rose Gold Diamond and Tsavorite Stud Earrings, 0.49 TCW",1606.5,2295.0,14K Gold,Rose,"Round Diamond 0.45, Round Tsavorite 0.04",0.49
"Effy 14K White Gold Diamond Drop Earrings, 0.68 TCW",1747.5,3495.0,14K Gold,White,Round Diamond 0.68,0.68
"Effy Aurora 14K Yellow Gold Opal and Diamond Stud Earrings, 0.92 TCW",836.5,1195.0,14K Gold,Yellow,"Round Opal 0.8, Round Diamond 0.12",0.92
"Effy Gemma 14K Two Tone Gold Tanzanite and Diamond Earrings, 1.03 TCW",1715.0,2450.0,14K Gold,Yellow and White,"Oval Tanzanite 0.86, Round Diamond 0.17",1.03
"Effy 14K Rose Gold Diamond Chandelier Earrings, 1.55 TCW",5497.5,10995.0,14K Gold,Rose,Round Diamond 1.55,1.55
"Effy Gemma 14K Yellow Gold Tanzanite Stud Earrings, 0.91 TCW",556.5,795.0,14K Gold,Yellow,"Round Tanzanite 0.91,",0.91
Effy 14K Yellow Gold Cultured Fresh Water Pearl Earrings,416.5,595.0,14K Gold,Yellow,Round Pearl,0.0
"Effy Bella Bleu 14K White Gold Blue and White Diamond Earrings, 1.54 TCW",3955.0,5650.0,14K Gold,White,Round Diamond 1.54,1.54
"Effy Brasilica 14K Yellow Gold Emerald Earrings, 1.71 TCW",1470.0,2100.0,14K Gold,Yellow,Round Emerald 1.71,1.71
"Effy Classique 14K White Gold Diamond Huggie Hoop Earrings, 0.94 TCW",3146.5,4495.0,14K Gold,White,Multi Shape Diamond 0.94,0.94
"Effy Bella Bleu 14K Rose Gold Blue and White Diamond Earrings, 0.51 TCW",1816.5,2595.0,14K Gold,Rose,Round Diamond 0.51,0.51
"Effy D'Oro 14K Yellow Gold Diamond V Maze Earrings, 1.03 TCW",2847.5,5695.0,14K Gold,Yellow,Round Diamond 1.03,1.03
"Effy Pave Classica 14K White Gold Diamond Triangles Earrings, 0.59 TCW",1947.5,3895.0,14K Gold,White,Round Diamond 0.59,0.59
"Effy 14K White Gold Black and White Diamond Earrings, 1.03 TCW",3706.5,5295.0,14K Gold,White,Round Diamond 1.03,1.03
"Effy Classique 14K White Gold Diamond Stud Earrings, 0.48 TCW",2415.0,3450.0,14K Gold,White,Multi Shape Diamond 0.48,0.48
"Effy Bouquet 14K White Gold Diamond Cluster Drop Earrings, 0.50 TCW",2306.5,3295.0,14K Gold,White,Round Diamond 0.5,0.5
"Effy Duo 14K Yellow and White Gold Diamond Earrings, 0.31 TCW",1676.5,2395.0,14K Gold,Yellow and White,Round Diamond 0.31,0.31
"Effy Brasilica 14K White Gold Emerald and Diamond Stud Earrings, 1.11 TCW",1676.5,2395.0,14K Gold,White,"Emerald Cut Emerald 0.95, Round Diamond 0.16",1.11
"Effy Royale Bleu 14K White Gold Blue Sapphire & Diamond Earrings, 5.21 TCW",3986.5,5695.0,14K Gold,White,"Multi Shape Blue Sapphire 4.84, Round Diamond 0.37",5.21
"Effy Gemma 14K White Gold Trillion Tanzanite and Diamond Earrings, 1.62 TCW",2656.5,3795.0,14K Gold,White,"Trillion Tanzanite 1.33, Round Diamond 0.29",1.62
"Effy 925 Sterling Silver & 18K Gold Accented Diamond Earrings, 0.22 TCW",805.0,1150.0,Sterling Silver & 18K Gold,Yellow,Round Diamond 0.22,0.22
"Effy Bouquet 14K White Gold Diamond Cluster Stud Earrings, 0.93 TCW",2306.5,3295.0,14K Gold,White,Round Diamond 0.93,0.93
"Effy D'Oro 14K Yellow Gold Diamond Earrings, 0.69 TCW",3010.0,4300.0,14K Gold,Yellow,Round Diamond 0.69,0.69
"Effy D'Oro 14K Yellow Gold Diamond Earrings, 0.76 TCW",2306.5,3295.0,14K Gold,Yellow,Multi Shape Diamond 0.76,0.76
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 2.88 TCW",3356.5,4795.0,14K Gold,Yellow,"Multi Shape Emerald 2.33, Round Diamond 0.55",2.88
"Effy Espresso 14K Rose Gold Cognac and White Earrings, 0.52 TCW",1886.5,2695.0,14K Gold,Rose,Round Diamond 0.52,0.52
"Effy Gemma 14K White Gold Tanzanite and Diamond Earrings, 1.96 TCW",1956.5,2795.0,14K Gold,White,"Round Tanzanite 1.71, Round Diamond 0.25",1.96
"Effy Eclipse 14K Yellow Gold Onyx and Diamond Earrings, 11.67 TCW",1575.0,2250.0,14K Gold,Yellow,"Pear Onyx 11.29, Round Diamond 0.38",11.67
"Effy Classique 14K White Gold Diamond Earrings, 0.76 TCW",2306.5,3295.0,14K Gold,White,"Baguette Diamond 0.57, Round Diamond 0.19,",0.76
"Effy Bella Bleu 14K White Gold Blue and White Diamond Earrings, 0.58 TCW",2415.0,3450.0,14K Gold,White,Round Diamond 0.58,0.58
"Effy Brasilica 14K Yellow Gold Emerald and Diamond Earrings, 2.51 TCW",2306.5,3295.0,14K Gold,Yellow,"Emerald Cut Emerald 1.9, Round Diamond 0.61",2.51
"Effy Seaside 14K Yellow Gold Diamond Starfish Earrings, 0.18 TCW",836.5,1195.0,14K Gold,Yellow,Round Diamond 0.18,0.18
"Effy Duo 14K Yellow and White Gold Diamond Earrings, 1.63 TCW",5316.5,7595.0,14K Gold,Yellow and White,Round Diamond 1.63,1.63
"Effy Watercolors 14K White Gold Multi Sapphire & Diamond Earrings, 4.47 TCW",2726.5,3895.0,14K Gold,White,"Multi Shape Multi Sapphire 4.12, Round Diamond 0.35",4.47
"Effy Gemma 14K White Gold Tanzanite and Diamond Earrings, 4.14 TCW",3395.0,4650.0,14K Gold,White,"Oval Tanzanite 3.8, Round Diamond 0.34",4.14
"Effy Bella Bleu 14K Rose Gold Blue and White Diamond Earrings, 1.30 TCW",3146.5,4495.0,14K Gold,Rose,Round Diamond 1.3,1.3
"Effy Bouquet 14K White Gold Diamond Cluster Earrings, 0.84 TCW",3496.5,4995.0,14K Gold,White,Round Diamond 0.84,0.84
"Effy Royale Bleu 14K White Gold Blue Sapphire & Diamond Earrings, 0.62 TCW",2205.0,3150.0,14K Gold,White,"Round Blue Sapphire 0.38, Round Diamond 0.24",0.62
"Effy Blush 14K Rose Gold Morganite and Diamond Earrings, 4.18 TCW",2096.5,2995.0,14K Gold,Rose,"Oval Morganite 3.8, Round Diamond 0.38",4.18
"Effy Signature 14K White Gold Emerald & Diamond Panther Earrings, 1.17 TCW",3575.0,7150.0,14K Gold,White,"Round Diamond 1.09, Round Emerald 0.08",1.17
"Effy Ruby Royale 14K Rose Gold Ruby and Diamond Earrings, 1.90 TCW",2625.0,3750.0,14K Gold,Rose,"Baguette Ruby 1.52, Round Diamond 0.38",1.9
"Effy Bouquet 14K White Gold Diamond Cluster Stud Earrings, 0.50 TCW",795.0,1600.0,14K Gold,White,Round Diamond 0.5,0.5
"Effy Bella Bleu 14K White Gold Blue and White Diamond Earrings, 1.16 TCW",2097.5,4195.0,14K Gold,White,Round Diamond 1.16,1.16
"Signature 14K Rose Gold Diamond and Tsavorite Garnet Earrings, 0.31 TCW",1700.0,3400.0,14K Gold,Rose,"Round Diamond 0.23, Round Tsavorite 0.08",0.31
Effy 925 Classic Sterling Silver and 18K Yellow Gold Earrings,486.5,695.0,Sterling Silver & 18K Gold,Yellow,No Stones,0.0
"Effy 14K Rose Gold Black, Espresso and White Diamond Earrings",2726.5,3895.0,14K Gold,Rose,Round Diamond 0.69,0.0
"Effy Signature 14K Rose Gold Diamond & Emerald Earrings, 0.65 TCW",1732.5,3465.0,14K Gold,Rose,"Round Diamond 0.6, Round Emerald 0.05",0.65
"Effy 925 Sterling Silver and 18K Yellow Gold Diamond Earrings, 0.12 TCW",595.0,850.0,Sterling Silver & 18K Gold,Yellow,Round Diamond 0.12,0.12
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Earrings, 5.13 TCW",3846.5,5495.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 4.18, Round Diamond 0.95",5.13
Espresso 14K Rose Gold Cognac & White Diamond Earrings,6997.5,13995.0,14K Gold,Rose,"Round Diamond 4.88,",0.0
"Effy Nature 14K Yellow Gold Cognac & White Diamond Butterfly Earrings, 0.57 TCW",1746.5,2495.0,14K Gold,Yellow,"Round Diamond 0.57,",0.57
"Effy Gemma 14K Yellow Gold Ruby and Diamond Huggie Earrings, 1.76 TCW",1816.5,2595.0,14K Gold,Yellow,"Square Ruby 1.6, Round Diamond 0.16",1.76
"Effy Brasilica 14K White Gold Emerald and Diamond Earrings, 3.34 TCW",5997.5,11995.0,14K Gold,White,"Rectangle Emerald 1.9, Round Diamond 1.44",3.34
"Effy Espresso 14K Rose Gold Cognac and White Diamond Earrings, .64 TCW",2026.5,2895.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ",0.64
Effy Watercolors 14K Yellow Gold Multi Sapphire and Diamond Earrings,3426.5,4895.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 5.21, Round Diamond 0.44",0.0
"Effy Bella Bleu 14K Rose Gold Blue and White Diamond Earrings, 0.58 TCW",2415.0,3450.0,14K Gold,Rose,"Round Blue Diamond, Round Diamond ",0.58
"Effy Signature 14K Rose Gold Diamond and Emerald Earrings, 0.81 TCW",3356.5,4795.0,14K Gold,Rose,"Round Diamond 0.79, Round Emerald 0.02",0.81
"Effy Watercolors 14K Gold Multi Sapphire & Diamond Starfish Earrings, 3.00 TCW",1995.0,3450.0,14K Gold,Yellow,"Multi Shape Multi Sapphire 2.49, Round Diamond 0.51",3.0
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Earrings, 1.76 TCW",1610.0,2300.0,14K Gold,Yellow,"Square Multi Sapphire 1.6, Round Diamond 0.16",1.76
"Effy 925 Sterling Silver Multi Sapphire Splash Starfish Earrings, 2.35 TCW",525.0,750.0,Sterling Silver,Sterling Silver,"Round Multi Sapphire 2.35,",2.35
"Effy Canare 14K Two-Tone Gold White & Yellow Diamond Earrings, 2.07 TCW",6716.5,9595.0,14K Gold,Yellow and White,"Round Yellow Diamond 1.4, Round Diamond 0.67,",2.07
"Effy Signature 14K White Gold Diamond and Emerald Earrings, 0.89 TCW",3356.5,4795.0,14K Gold,White,"Round Diamond, Round Black Diamond , Round Emerald 0.07,",0.89
Effy 925 Sterling Silver & 18K Gold Cultured Pearl Earrings,332.5,475.0,Sterling Silver,Sterling Silver,No Stones,0.0
"Effy Espresso 14K Rose Gold Cognac & White Diamond Leaf Earrings, 1.05 TCW",3006.5,4295.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ",1.05
"Effy Espresso 14K Rose Gold Cognac & White Diamond Earrings, 1.3 TCW",3146.5,4495.0,14K Gold,Rose,"Round Cognac Diamond, Round Diamond ",1.3
"Effy Pave Classica 14K Rose Gold Diamond Earrings, 0.38 TCW",1295.0,1850.0,14K Gold,Rose,Round Diamond 0.38,0.38
Effy 14K Yellow Gold Fresh Water Cultured Pearl Earrings,175.0,250.0,14K Gold,Yellow,"Pearl,",0.0
"Effy 925 Sterling Silver Pink Sapphire Splash Stud Earrings, 2.45 TCW",437.5,625.0,Sterling Silver,Sterling Silver,Round Pink Sapphire 2.45,2.45
"Effy 925 Sterling Silver Pink Sapphire Splash Small Hoop Earrings, 1.80 TCW",295.0,295.0,Sterling Silver,Sterling Silver,Round Pink Sapphire 1.8,1.8
"Effy 14K White Gold Black and White Diamond Earrings, 1.30 TCW",3076.5,4395.0,14K Gold,White,"Round Black Diamond, Round Diamond ",1.3
"Effy Seaside Sterling Silver Blue Sapphire Starfish Earrings, 2.40 TCW",525.0,750.0,Sterling Silver,Sterling Silver,"Round Blue Sapphire 2.4,",2.4
"Effy 925 Splash Ruby & Pink Sapphire Starfish Earrings, 2.35 TCW",525.0,750.0,Sterling Silver,Sterling Silver,"Round Ruby 2.24, Round Pink Sapphire ,",2.35
"Effy 14K White Gold Black and White Diamond Earrings, 0.92 TCW",1956.5,2795.0,14K Gold,White,"Round Diamond 0.92, Round Black Diamond ,",0.92
"Effy Signature 14K Rose Gold Diamond and Emerald Earrings, 0.80 TCW",3916.5,5595.0,14K Gold,Rose,"Round Diamond 0.74, Round Emerald 0.06, Round Black Diamond ",0.8
"Effy Watercolors 14K Yellow Gold Multi Sapphire & Diamond Earrings, 5.08 TCW",2397.5,4795.0,14K Gold,Yellow,"Round Diamond 0.49, Multi Shape Multi Sapphire 4.59,",5.08
"Effy Splash Sterling Silver Multi Color Sapphire Ball Earrings, 2.20 TCW",385.0,550.0,Sterling Silver,Sterling Silver,"Round Multi Sapphire 2.2,",2.2
