Description,Discount_Price,Price,Metal,Metal Color,Stones,Product_Weight
"Effy Pave Rose 14K Gold Diamond Cross Over Ring, 0.82 TCW",2225.0,4450.0,14K Gold,Rose,"Round Diamond 0.82,",0.82
"14K White Gold Black and White Diamond Ring, 1.61 TCW",3247.5,6495.0,14K Gold,White,"Round Black Diamond, Round Diamond ,",1.61
"Effy Nature 14K Yellow Gold Diamond Flower Ring, 0.23 TCW",1956.5,2795.0,14K Gold,Yellow,Round Diamond 0.23,0.23
"Effy Ruby Royale 14K Yellow Gold Ruby and Diamond Ring, 7.82 TCW",4050.0,8100.0,14K Gold,Yellow,"Oval Ruby 7.17, Round Diamond 0.65",7.82
"Effy Canare 14K 2-Tone Gold Yellow and White Diamond Ring, 0.56 TCW",2547.5,5095.0,14K Gold,Yellow and White,Round Diamond 0.56,0.56
"Effy Tanzanite Royale Sterling Silver Tanzanite and Diamond Ring, 2.09 TCW",1650.0,3300.0,Sterling Silver,Sterling Silver,"Rectangle Tanzanite 1.9, Round Diamond 0.19",2.09
"Effy 14K Two Tone Gold Yellow and White Diamond Ring, 0.44 TCW",1575.0,3150.0,14K Gold,Yellow and White,Round Diamond 0.44,0.44
"Effy Aquarius Sterling Silver Aquamarine Ring, 1.50 TCW",206.5,295.0,Sterling Silver,Sterling Silver,"Oval Aquamarine 1.5,",1.5
"Effy Splash Sterling Silver Multi Sapphire Buckle Ring, 2.49 TCW",556.5,795.0,Sterling Silver,Sterling Silver,Round Multi Sapphire 2.49,2.49
"Effy Splash Sterling Silver Pink Sapphire and Ruby Oval Ring, 3.41 TCW",626.5,895.0,Sterling Silver,Sterling Silver,Round Pink Sapphire 3.41,3.41
