Item_Number,Description,Discount_Price,Price,Metal,Metal Color,Stones,Jewelry_Type,Product_Carat,Stone1_Desc,Stone1_Carat,Stone1_Stone,Stone1_Color,Stone1_Cut,Stone2_Desc,Stone2_Carat,Stone2_Stone,Stone2_Color,Stone2_Cut,Stone3_Desc,Stone3_Carat,Stone3_Stone,Stone3_Color,Stone3_Cut,Stone4_Desc,Stone4_Carat,Stone4_Stone,Stone4_Color,Stone4_Cut,Stone5_Desc,Stone5_Carat,Stone5_Stone,Stone5_Color,Stone5_Cut,Stone6_Desc,Stone6_Carat,Stone6_Stone,Stone6_Color,Stone6_Cut
1,"14K 2-Tone Gold Espresso & White Diamond Crossover Hoop Earrings, 1.00 TCW",2096.5,2995,14K Gold,Rose and White,Round Diamond 1,Earrings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
2,"14K Rose Gold Diamond and Rose Quartz Ring, 16.45 TCW",1746.5,2495,14K Gold,Rose,"Pear Rose Quartz 16.25, Round Diamond 0.2,",Rings,16.45,Pear Rose Quartz,16.25,Quartz,Rose,Pear,Round Diamond,0.2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
3,"14K Rose Gold Pink Sapphire and Diamond Ribbon Earrings, 0.54 TCW",945,1350,14K Gold,Rose,"Round Pink Sapphire 0.41, Round Diamond 0.13",Earrings,0.54,Round Pink Sapphire,0.41,Sapphire,Pink,Round,Round Diamond,0.13,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
4,"14K Rose Gold Pink Sapphire and Diamond Ribbon Pendant, 0.31 TCW",875,1250,14K Gold,Rose,"Round Pink Sapphire 0.23, Round Diamond 0.08",Necklace and Pendant,0.31,Round Pink Sapphire,0.23,Sapphire,Pink,Round,Round Diamond,0.08,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
5,"14K Rose Gold Pink Sapphire and Diamond Ribbon Ring, 0.38 TCW",906.5,1295,14K Gold,Rose,"Round Pink Sapphire 0.26, Round Diamond 0.12",Rings,0.38,Round Pink Sapphire,0.26,Sapphire,Pink,Round,Round Diamond,0.12,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
6,"14K Rose Gold Rose Quartz and Diamond Earrings, 13.05 TCW",1956.5,2795,14K Gold,Rose,"Trillion Rose Quartz 12.7, Round Diamond 0.35",Earrings,13.05,Trillion Rose Quartz,12.7,Quartz,Rose,Trillion,Round Diamond,0.35,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
7,"14K Rose Gold Rose Quartz and Diamond Pendant, 16.18 TCW",1746.5,2495,14K Gold,Rose,"Trillion Rose Quartz 15.9, Round Diamond 0.28",Necklace and Pendant,16.18,Trillion Rose Quartz,15.9,Quartz,Rose,Trillion,Round Diamond,0.28,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
8,"14K Two Tone Gold Blue and White Diamond Crossover Bangle, 2.00 TCW",4025,5750,14K Gold,Yellow and White,Round Diamond 2,Bracelets,2,Round Diamond,2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
9,"14K Two Tone Gold Blue and White Diamond Crossover Pendant, 1.00 TCW",1505,2150,14K Gold,Yellow and White,Round Diamond 1,Necklace and Pendant,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
10,"14K Two Tone Gold Blue and White Diamond Crossover Ring, 1.00 TCW",1750,2500,14K Gold,Yellow and White,Round Diamond 1,Rings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
11,"14K Two Tone Gold Espresso and White Diamond Crossover Bangle, 2.00 TCW",4375,6250,14K Gold,Rose and White,Round Diamond 2,Bracelets,2,Round Diamond,2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
12,"14K Two Tone Gold Espresso and White Diamond Crossover Pendant, 1.00 TCW",1575,2250,14K Gold,Rose and White,Round Diamond 1,Necklace and Pendant,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
13,"14K Two Tone Gold Espresso and White Diamond Crossover Ring, 1.00 TCW",1925,2750,14K Gold,Rose and White,Round Diamond 1,Rings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
14,"14K White and Yellow Gold Diamond Crossover Bangle, 2.00 TCW",5215,7450,14K Gold,Yellow and White,Round Diamond 2,Bracelets,2,Round Diamond,2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
15,"14K White and Yellow Gold Diamond Crossover Hoop Earrings, 1.00 TCW",2306.5,3295,14K Gold,Yellow and White,Round Diamond 1,Earrings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
16,"14K White and Yellow Gold Diamond Crossover Pendant, 1.00 TCW",2205,3150,14K Gold,Yellow and White,Round Diamond 1,Necklace and Pendant,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
17,"14K White and Yellow Gold Diamond Crossover Ring, 1.00 TCW",2205,3150,14K Gold,Yellow and White,Round Diamond 1,Rings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
18,"14K White Gold 18"" Diamond Necklace, .69 TCW",2096.5,2995,14K Gold,White,"Round Diamond 0.69,7 Double Sided Diamond Sections. Adjustable to 16""",Necklace and Pendant,0.69,Round Diamond,0.69,Diamond,,Round,7 Double Sided Diamond Sections. Adjustable to,16,,,,,,,,,,,,,,,,,,,,,,,
19,"14K White Gold 18"" Diamond Station and Flower Cluster Necklace, 1.51 TCW",4196.5,5995,14K Gold,White,"Round Diamond 1.51,18"" Necklace",Necklace and Pendant,1.51,Round Diamond,1.51,Diamond,,Round,"18"" Necklace",0,Necklace,,"18""",,,,,,,,,,,,,,,,,,,,
20,"14K White Gold 18"" Diamond Station Necklace, 1.50 TCW",3776.5,5395,14K Gold,White,"Round Diamond 1.5,18"" Necklace",Necklace and Pendant,1.5,Round Diamond,1.5,Diamond,,Round,"18"" Necklace",0,Necklace,,"18""",,,,,,,,,,,,,,,,,,,,
21,"14K White Gold 18"" Diamond Station Necklace, 2.00 TCW",5666.5,8095,14K Gold,White,"Round Diamond 2,18"" Necklace",Necklace and Pendant,2,Round Diamond,2,Diamond,,Round,"18"" Necklace",0,Necklace,,"18""",,,,,,,,,,,,,,,,,,,,
22,"14K White Gold 36"" Diamond Station Necklace, 2.00 TCW",5145,7350,14K Gold,White,"Round Diamond 2,36"" Necklace",Necklace and Pendant,2,Round Diamond,2,Diamond,,Round,"36"" Necklace",0,Necklace,,"36""",,,,,,,,,,,,,,,,,,,,
23,"14K White Gold Black and White Diamond Flower Pendant, 1.99 TCW",4247.5,8495,14K Gold,White,"Black Diamond, Round Diamond 1.99,Chain Included",Necklace and Pendant,1.99,Black Diamond,0,Diamond,,Black,Round Diamond,1.99,Diamond,,Round,Chain Included,0,Included,,Chain,,,,,,,,,,,,,,,
24,"14K White Gold Black and White Diamond Ring, 1.61 TCW",3247.5,6495,14K Gold,White,"Round Black Diamond, Round Diamond ,",Rings,1.61,Round Black Diamond,0,Diamond,Black,Round,Round Diamond,0,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
25,"14K White Gold Channel Set Diamond Eternity Band, 0.50 TCW",1256.5,1795,14K Gold,White,"Round Diamond 0.5,",Rings,0.5,Round Diamond,0.5,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
26,"14K White Gold Channel Set Diamond Eternity Band, 1.00 TCW",2096.5,2995,14K Gold,White,"Round Diamond 1,",Rings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
27,"14K White Gold Channel Set Diamond Eternity Band, 2.00 TCW",5596.5,7995,14K Gold,White,"Round Diamond 2,",Rings,2,Round Diamond,2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
28,"14K White Gold Channel Set Diamond Eternity Band, 3.00 TCW",9096.5,12995,14K Gold,White,"Round Diamond 3,",Rings,3,Round Diamond,3,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
29,"14K White Gold Channel Set Diamond Eternity Band, 4.00 TCW",13996.5,19995,14K Gold,White,"Round Diamond 4,",Rings,4,Round Diamond,4,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
30,"14K White Gold Diamond Ring, 2.00 TCW",6156.5,8795,14K Gold,White,Multi-Shape Diamond 2,Rings,2,Multi-Shape Diamond,2,Diamond,,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
31,"14K White Gold Prong Set Diamond Eternity Band, 0.50 TCW",1046.5,1495,14K Gold,White,"Round Diamond 0.5,",Rings,0.5,Round Diamond,0.5,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
32,"14K White Gold Prong Set Diamond Eternity Band, 1.00 TCW",2096.5,2995,14K Gold,White,"Round Diamond 1,",Rings,1,Round Diamond,1,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
33,"14K White Gold Prong Set Diamond Eternity Band, 2.00 TCW",5596.5,7995,14K Gold,White,"Round Diamond 2,",Rings,2,Round Diamond,2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
34,"14K White Gold Prong Set Diamond Eternity Band, 3.00 TCW",9096.5,12995,14K Gold,White,"Round Diamond 3,",Rings,3,Round Diamond,3,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
35,"14K White Gold Prong Set Diamond Eternity Band, 4.00 TCW",13996.5,19995,14K Gold,White,"Round Diamond 4,",Rings,4,Round Diamond,4,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
36,"14K White Gold Tanzanite and Diamond Pendant, 0.81 TCW",2306.5,3295,14K Gold,White,"Round Diamond 0.05, Oval Tanzanite 0.76,Chain Included",Necklace and Pendant,0.81,Round Diamond,0.05,Diamond,,Round,Oval Tanzanite,0.76,Tanzanite,,Oval,Chain Included,0,Included,,Chain,,,,,,,,,,,,,,,
37,"14K White Gold Tanzanite and Diamond Pendant, 2.13 TCW",995,995,14K Gold,White,"Oval Tanzanite 2, Round Diamond 0.13",Necklace and Pendant,2.13,Oval Tanzanite,2,Tanzanite,,Oval,Round Diamond,0.13,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
38,"14K Yellow Gold Citrine and Diamond Pendant, 8.29 TCW",1437.5,2875,14K Gold,Yellow,"Oval Citrine 8.17, Round Diamond 0.12",Necklace and Pendant,8.29,Oval Citrine,8.17,Citrine,,Oval,Round Diamond,0.12,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
39,"14K Yellow Gold Emerald and Diamond Flower Ring, 2.86 TCW",3497.5,6995,14K Gold,Yellow,"Oval Emerald 1.52, Round Diamond 1.34",Rings,2.86,Oval Emerald,1.52,Emerald,,Oval,Round Diamond,1.34,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
40,"Balissima Sterling Silver Mix Stone Earrings, 14.80 TCW",1675,3350,Sterling Silver,Sterling Silver,"Multi-Shape Rhodolite Garnet, Multi-Shape Pink Tourmaline ",Earrings,14.8,Multi-Shape Rhodolite Garnet,0,Garnet,Rhodolite,Multi-Shape,Multi-Shape Pink Tourmaline,0,Tourmaline,Pink,Multi-Shape,,,,,,,,,,,,,,,,,,,,
41,"Confetti 14K Rose Gold Black, White and Cognac Diamond Ring, 1.36 TCW",4375,6250,14K Gold,Rose,Round Diamond 1.36,Rings,1.36,Round Diamond,1.36,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
42,"Effy 14K 2-Tone Gold Aquamarine and Diamond Drop Earrings, 3.75 TCW",1707.5,3415,14K Gold,Rose and White,"Pear Aquamarine 3.4, Round Diamond 0.35",Earrings,3.75,Pear Aquamarine,3.4,Aquamarine,,Pear,Round Diamond,0.35,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
43,"Effy 14K 2-Tone Gold Black and White Diamond Ring, 2.35 TCW",5456.5,7795,14K Gold,Rose and Yellow,Round Diamond 2.35,Rings,2.35,Round Diamond,2.35,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
44,"Effy 14K 2-Tone Gold Espresso, Yellow and White Diamond Ring, 1.47 TCW",3547.5,7095,14K Gold,Rose,"Round Diamond 1.47,",Rings,1.47,Round Diamond,1.47,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
45,"Effy 14K Gold Amethyst, Pink Tourmaline and Diamond Butterfly Ring, 6.95 TW",1956.5,2795,14K Gold,Rose,"Multi-Shape Multi-Color 6.8, Round Diamond 0.15",Rings,0,Multi-Shape Multi-Color,6.8,Multi-Color,,Multi-Shape,Round Diamond,0.15,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
46,"Effy 14K Gold Cultured Fresh Water Pearl & Diamond Earrings, 0.20 TCW",1295,1850,14K Gold,Yellow,"Round Pearl, Round Diamond 0.2",Earrings,0.2,Round Pearl,0,Pearl,,Round,Round Diamond,0.2,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
47,"Effy 14K Gold Cultured Fresh Water Pearl & Diamond Fringe Pendant, 0.17 TCW",1256.5,1795,14K Gold,Yellow,"Round Pearl, Round Diamond 0.17",Necklace and Pendant,0.17,Round Pearl,0,Pearl,,Round,Round Diamond,0.17,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
48,"Effy 14K Gold Cultured Fresh Water Pearl and Diamond Bracelet, 0.04 TCW",447.5,895,14K Gold,Yellow,"Round Pearl, Round Diamond 0.04",Bracelets,0.04,Round Pearl,0,Pearl,,Round,Round Diamond,0.04,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
49,"Effy 14K Gold Multi Sapphire and Diamond Flip Flop Pendant, 0.53 TCW",1015,1450,14K Gold,Yellow,"Round Multi-Sapphire 0.46, Round Diamond 0.07",Necklace and Pendant,0.53,Round Multi-Sapphire,0.46,Multi-Sapphire,,Round,Round Diamond,0.07,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
50,"Effy 14K Rose and White Gold Diamond Ring, 0.75 TCW",2247.5,4495,14K Gold,Rose and White,"Round Diamond 0.75,",Rings,0.75,Round Diamond,0.75,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
51,"Effy 14K Rose and White Gold Diamond Ring, 1.62 TCW",5497.5,10995,14K Gold,Rose and White,Round Diamond 1.62,Rings,1.62,Round Diamond,1.62,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
52,"Effy 14K Rose Gold 18"" Diamonds Station Necklace, 0.21 TCW",1046.5,1495,14K Gold,Rose,Round Diamond 0.21,Necklace and Pendant,0.21,Round Diamond,0.21,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
53,"Effy 14K Rose Gold Amethyst and Diamond Necklace, 1.44 TCW",906.5,1295,14K Gold,Rose,"Pear Amethyst 1.4, Round Diamond 0.04,",Necklace and Pendant,1.44,Pear Amethyst,1.4,Amethyst,,Pear,Round Diamond,0.04,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
54,"Effy 14K Rose Gold Amethyst and Diamond Pendant, 6.62 TCW",1085,1550,14K Gold,Rose,"Cushion Amethyst 6.6, Round Diamond 0.02",Necklace and Pendant,6.62,Cushion Amethyst,6.6,Amethyst,,Cushion,Round Diamond,0.02,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
55,"Effy 14K Rose Gold Amethyst Bezel Set Station Necklace, 1.00 TCW",1256.5,1795,14K Gold,Rose,"Round Amethyst 1,14"" - 16"" Adjustable Chain.",Necklace and Pendant,1,Round Amethyst,1,Amethyst,,Round,"14"" -",16,-,,"14""",,,,,,,,,,,,,,,,,,,,
56,"Effy 14K Rose Gold Amethyst Station Necklace, 8.25 TCW",1396.5,1995,14K Gold,Rose,Round Amethyst 8.25,Necklace and Pendant,8.25,Round Amethyst,8.25,Amethyst,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
57,"Effy 14K Rose Gold Amethyst, Pink Tourmaline and Diamond Earrings, 7.04 TCW",2446.5,3495,14K Gold,Rose,"Emerald Multi-Color 6.57, Round Diamond 0.47",Earrings,7.04,Emerald Multi-Color,6.57,Multi-Color,,Emerald,Round Diamond,0.47,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
58,"Effy 14K Rose Gold Amethyst, Pink Tourmaline and Diamond Pendant, 8.08 TCW",2026.5,2895,14K Gold,Rose,"Emerald Multi-Color 7.78, Round Diamond 0.3",Necklace and Pendant,8.08,Emerald Multi-Color,7.78,Multi-Color,,Emerald,Round Diamond,0.3,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
59,"Effy 14K Rose Gold Amethyst, Pink Tourmaline Diamond Ring, 8.02 TCW",2306.5,3295,14K Gold,Rose,"Emerald Multi-Color 7.7, Round Diamond 0.32",Rings,8.02,Emerald Multi-Color,7.7,Multi-Color,,Emerald,Round Diamond,0.32,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
60,"Effy 14K Rose Gold Amethyst, Tanzanite and Diamond Earrings, 8.62 TCW",1326.5,1895,14K Gold,Rose,"Rectangle Multi-Color 8.55, Round Diamond 0.07",Earrings,8.62,Rectangle Multi-Color,8.55,Multi-Color,,Rectangle,Round Diamond,0.07,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
61,"Effy 14K Rose Gold Amethyst, Tanzanite and Diamond Ring, 7.49 TCW",1816.5,2595,14K Gold,Rose,"Rectangle Multi-Color 7.35, Round Diamond 0.14",Rings,7.49,Rectangle Multi-Color,7.35,Multi-Color,,Rectangle,Round Diamond,0.14,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
62,"Effy 14K Rose Gold Aquamarine and Diamond Pendant, 2.05 TCW",1097.5,2195,14K Gold,Rose,"Cushion Aquamarine 1.8, Round Diamond 0.25",Necklace and Pendant,2.05,Cushion Aquamarine,1.8,Aquamarine,,Cushion,Round Diamond,0.25,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
63,"Effy 14K Rose Gold Black, Cognac and White Diamond Ring, 1.47 TCW",3706.5,5295,14K Gold,Rose,"Round Diamond, Round Black Diamond , Round Cognac Diamond ",Rings,1.47,Round Diamond,0,Diamond,,Round,Round Black Diamond,0,Diamond,Black,Round,Round Cognac Diamond,0,Diamond,Cognac,Round,,,,,,,,,,,,,,,
64,"Effy 14K Rose Gold Black, Cognac and White Diamond Ring, 2.05 TCW",4247.5,8495,14K Gold,Rose,Round Diamond 2.05,Rings,2.05,Round Diamond,2.05,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
65,"Effy 14K Rose Gold Black, Espresso and White Diamond Earrings",2726.5,3895,14K Gold,Rose,Round Diamond 0.69,Earrings,0,Round Diamond,0.69,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
66,"Effy 14K Rose Gold Blue Topaz and Diamond Pendant, 6.70 TCW",1397.5,2795,14K Gold,Rose,"Cushion Blue Topaz 6.45, Round Cognac Diamond , Round Diamond ",Necklace and Pendant,6.7,Cushion Blue Topaz,6.45,Topaz,Blue,Cushion,Round Cognac Diamond,0,Diamond,Cognac,Round,Round Diamond,0,Diamond,,Round,,,,,,,,,,,,,,,
67,"Effy 14K Rose Gold Citrine, Cognac and White Diamond Ring, 9.97 TCW",1925,2750,14K Gold,Rose,"Oval Citrine 9.6, Round Diamond 0.37",Rings,9.97,Oval Citrine,9.6,Citrine,,Oval,Round Diamond,0.37,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
68,Effy 14K Rose Gold Cultured Fresh Water Pearl Drop Earrings,206.5,295,14K Gold,Rose,Round Pearl,Earrings,0,Round Pearl,0,Pearl,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
69,"Effy 14K Rose Gold Diamond Butterfly Pendant, 0.81 TCW",2275,4550,14K Gold,Rose,Round Diamond 0.81,Necklace and Pendant,0.81,Round Diamond,0.81,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
70,"Effy 14K Rose Gold Diamond Chandelier Earrings, 1.55 TCW",5497.5,10995,14K Gold,Rose,Round Diamond 1.55,Earrings,1.55,Round Diamond,1.55,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
71,"Effy 14K Rose Gold Diamond Cross Over Earrings, 0.60 TCW",1700,3400,14K Gold,Rose,Multi-Shape Diamond 0.6,Earrings,0.6,Multi-Shape Diamond,0.6,Diamond,,Multi-Shape,,,,,,,,,,,,,,,,,,,,,,,,,
72,"Effy 14K Rose Gold Diamond Dome Ring, 2.54 TCW",8396.5,11995,14K Gold,White,"Round Diamond 2.54,",Rings,2.54,Round Diamond,2.54,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
73,"Effy 14K Rose Gold Diamond Double Band Ring, 0.36 TCW",1295,1850,14K Gold,Rose,"Round Diamond 0.36,",Rings,0.36,Round Diamond,0.36,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
74,"Effy 14K Rose Gold Diamond Fashion Ring, 0.64 TCW",1625,3250,14K Gold,Rose,"Round Diamond 0.64,",Rings,0.64,Round Diamond,0.64,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
75,"Effy 14K Rose Gold Diamond Hoop Earrings, 3.92 TCW",11896.5,16995,14K Gold,Rose,Round Diamond 3.92,Earrings,3.92,Round Diamond,3.92,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
76,"Effy 14K Rose Gold Diamond Knot Ring, 0.95 TCW",2147.5,4295,14K Gold,Rose,"Round Diamond 0.95,",Rings,0.95,Round Diamond,0.95,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
77,"Effy 14K Rose Gold Diamond Leopard Spot Ring, 0.47 TCW",1326.5,1895,14K Gold,Rose,"Round Diamond 0.47,",Rings,0.47,Round Diamond,0.47,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
78,"Effy 14K Rose Gold Diamond Links Pendant, 0.70 TCW",2047.5,4095,14K Gold,Rose,Round Diamond 0.7,Necklace and Pendant,0.7,Round Diamond,0.7,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
79,"Effy 14K Rose Gold Diamond Pave Bangle, 1.00 TCW",3747.5,7495,14K Gold,Rose,"Round Diamond 1,Size 7",Bracelets,1,Round Diamond,1,Diamond,,Round,Size,7,Size,,,,,,,,,,,,,,,,,,,,,,
80,"Effy 14K Rose Gold Diamond Pendant, 0.18 TCW",800,1600,14K Gold,Rose,Round Diamond 0.18,Necklace and Pendant,0.18,Round Diamond,0.18,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
81,"Effy 14K Rose Gold Diamond Pendant, 0.20 TCW",1147.5,2295,14K Gold,Rose,"Round Diamond 0.2,Chain Included",Necklace and Pendant,0.2,Round Diamond,0.2,Diamond,,Round,Chain Included,0,Included,,Chain,,,,,,,,,,,,,,,,,,,,
82,"Effy 14K Rose Gold Diamond Ribbon Pendant, 0.12 TCW",625,1250,14K Gold,Rose,Round Diamond 0.12,Necklace and Pendant,0.12,Round Diamond,0.12,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
83,"Effy 14K Rose Gold Diamond Shema Israel Bracelet, 1.25 TCW",8750,17500,14K Gold,Rose,"Round Diamond 1.25,",Bracelets,1.25,Round Diamond,1.25,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
84,"Effy 14K Rose Gold Diamond Star of David Pendant, 0.12 TCW",747.5,1495,14K Gold,Rose,Round Diamond 0.12,Necklace and Pendant,0.12,Round Diamond,0.12,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
85,"Effy 14K Rose Gold Diamond Station Necklace, 0.34 TCW",1225,1750,14K Gold,Rose,Round Diamond 0.34,Necklace and Pendant,0.34,Round Diamond,0.34,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
86,"Effy 14K Rose Gold Diamond Swirl Ring, 1.25 TCW",3375,6750,14K Gold,Rose,Round Diamond 1.25,Rings,1.25,Round Diamond,1.25,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
87,"Effy 14K Rose Gold Emerald Cut Tanzanite and Diamond Pendant, 1.56 TCW",2306.5,3295,14K Gold,Rose,"Emerald Tanzanite 1.33, Round Diamond 0.23",Necklace and Pendant,1.56,Emerald Tanzanite,1.33,Tanzanite,,Emerald,Round Diamond,0.23,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
88,"Effy 14K Rose Gold Emerald Cut Tanzanite and Diamond Ring, 1.72 TCW",2656.5,3795,14K Gold,Rose,"Emerald Tanzanite 1.33, Round Diamond 0.39,",Rings,1.72,Emerald Tanzanite,1.33,Tanzanite,,Emerald,Round Diamond,0.39,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
89,"Effy 14K Rose Gold Espresso and White Diamond Belt Ring, 0.57 TCW",1997.5,3995,14K Gold,Rose,"Round Cognac Diamond 0.53, Round Diamond 0.04,",Rings,0.57,Round Cognac Diamond,0.53,Diamond,Cognac,Round,Round Diamond,0.04,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
90,"Effy 14K Rose Gold Espresso and White Diamond Cross Over Ring, 1.36 TCW",4500,9000,14K Gold,Rose,"Round Diamond 1.36,",Rings,1.36,Round Diamond,1.36,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
91,"Effy 14K Rose Gold Espresso and White Diamond Earrings, 0.73 TCW",2796.5,3995,14K Gold,Rose,Round Diamond 0.73,Earrings,0.73,Round Diamond,0.73,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
92,"Effy 14K Rose Gold Espresso and White Diamond Earrings, 1.16 TCW",2247.5,4495,14K Gold,Rose,"Round Cognac Diamond 0.97, Round Diamond 0.19",Earrings,1.16,Round Cognac Diamond,0.97,Diamond,Cognac,Round,Round Diamond,0.19,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
93,"Effy 14K Rose Gold Espresso and White Diamond Oval Ring, 0.85 TCW",1797.5,3595,14K Gold,Rose,"Round Diamond 0.85,",Rings,0.85,Round Diamond,0.85,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
94,"Effy 14K Rose Gold Espresso and White Diamond Pendant, 0.60 TCW",1606.5,2295,14K Gold,Rose,Round Diamond 0.58,Necklace and Pendant,0.6,Round Diamond,0.58,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
95,"Effy 14K Rose Gold Espresso and White Diamond Pendant, 0.89 TCW",2050,4100,14K Gold,Rose,Round Diamond 0.89,Necklace and Pendant,0.89,Round Diamond,0.89,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
96,"Effy 14K Rose Gold Espresso and White Diamond Ring, 0.45 TCW",1676.5,2395,14K Gold,Rose,Round Diamond 0.45,Rings,0.45,Round Diamond,0.45,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
97,"Effy 14K Rose Gold Espresso and White Diamond Ring, 0.70 TCW",1747.5,3495,14K Gold,Rose,Round Diamond 0.7,Rings,0.7,Round Diamond,0.7,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
98,"Effy 14K Rose Gold Espresso and White Diamond Ring, 0.73 TCW",2250,4500,14K Gold,Rose,Round Diamond 0.73,Rings,0.73,Round Diamond,0.73,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
99,"Effy 14K Rose Gold Espresso and White Diamond Ring, 1.15 TCW",2575,5150,14K Gold,Rose,"Round Diamond 1.15,",Rings,1.15,Round Diamond,1.15,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
100,"Effy 14K Rose Gold Espresso and White Diamond Ring, 1.25 TCW",2547.5,5095,14K Gold,Rose,Round Diamond 1.25,Rings,1.25,Round Diamond,1.25,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
