Item_Number,Description,Discount_Price,Price,Metal,Metal Color,Stones,Jewelry_Type,Product_Carat,Stone1_Desc,Stone1_Carat,Stone1_Stone,Stone1_Color,Stone1_Cut,Stone2_Desc,Stone2_Carat,Stone2_Stone,Stone2_Color,Stone2_Cut,Stone3_Desc,Stone3_Carat,Stone3_Stone,Stone3_Color,Stone3_Cut,Stone4_Desc,Stone4_Carat,Stone4_Stone,Stone4_Color,Stone4_Cut,Stone5_Desc,Stone5_Carat,Stone5_Stone,Stone5_Color,Stone5_Cut,Stone6_Desc,Stone6_Carat,Stone6_Stone,Stone6_Color,Stone6_Cut
1364,"Effy Nature 14K Gold Espresso & White Diamond Butterfly Ring, 1.18 TCW",3497.5,6995,14K Gold,Yellow,"Round Diamond 1.18,",Rings,1.18,Round Diamond,1.18,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1365,"Effy Nature 14K Gold Ruby, Sapphire & Diamond Flowers Earrings, 1.80 TCW",3356.5,4795,14K Gold,Rose,"Round Multi-Color 1.27, Round Diamond 0.53",Earrings,1.8,Round Multi-Color,1.27,Multi-Color,,Round,Round Diamond,0.53,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1366,"Effy Nature 14K Gold Ruby, Sapphire and Diamond Butterfly Ring, 1.47 TCW",1890,2700,14K Gold,Rose,"Round Multi-Color 1.3, Round Diamond 0.17,",Rings,1.47,Round Multi-Color,1.3,Multi-Color,,Round,Round Diamond,0.17,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1367,"Effy Nature 14K Gold Ruby, Sapphire and Diamond Flowers Pendant, 3.02 TCW",3776.5,5395,14K Gold,Rose,"Round Multi-Color 2.67, Round Diamond 0.35",Necklace and Pendant,3.02,Round Multi-Color,2.67,Multi-Color,,Round,Round Diamond,0.35,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1368,"Effy Nature 14K Gold Sapphire, Tsavorite & Diamond Butterfly Ring, 3.46 TCW",1847.5,3695,14K Gold,White,"Multi-Shape Multi-Color 3.4, Round Diamond 0.06,",Rings,3.46,Multi-Shape Multi-Color,3.4,Multi-Color,,Multi-Shape,Round Diamond,0.06,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1369,"Effy Nature 14K Rose Gold Amethyst and Diamond Butterfly Necklace, 1.27 TCW",1256.5,1795,14K Gold,Rose,"Multi-Shape Amethyst 1.1, Round Diamond 0.17",Necklace and Pendant,1.27,Multi-Shape Amethyst,1.1,Amethyst,,Multi-Shape,Round Diamond,0.17,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1370,"Effy Nature 14K Rose Gold Amethyst and Diamond Flower Ring, 7.79 TCW",1886.5,2695,14K Gold,Rose,"Heart Amethyst 7.75, Round Diamond 0.04",Rings,7.79,Heart Amethyst,7.75,Amethyst,,Heart,Round Diamond,0.04,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
1371,"Effy Nature 14K Rose Gold Diamond Butterfly Necklace, 0.34 TCW",1442.5,2885,14K Gold,Rose,Round Diamond 0.34,Necklace and Pendant,0.34,Round Diamond,0.34,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1372,"Effy Nature 14K Rose Gold Diamond Single or Double Finger Butterfly Ring, 1.18 TCW",4056.5,5795,14K Gold,Rose,Round Diamond 1.18,Rings,1.18,Round Diamond,1.18,Diamond,,Round,,,,,,,,,,,,,,,,,,,,,,,,,
1373,"Effy Nature 14K Rose Gold Pink Sapphire & Diamond Butterfly Ring, 1.14 TCW",1995,2850,14K Gold,Rose,"Round Pink Sapphire 1.09, Round Diamond 0.05,",Rings,1.14,Round Pink Sapphire,1.09,Sapphire,Pink,Round,Round Diamond,0.05,Diamond,,Round,,,,,,,,,,,,,,,,,,,,
